Type                                  Module                      Label             Process   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaPixelMatchVars"   "dPhi3Info"       "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaPixelMatchVarsUnseeded"   "dPhi3Info"       "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaPixelMatchVars"   "dPhi4"           "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaPixelMatchVarsUnseeded"   "dPhi4"           "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaPixelMatchVars"   "dPhi4Info"       "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaPixelMatchVarsUnseeded"   "dPhi4Info"       "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaPixelMatchVars"   "dRZ1"            "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaPixelMatchVarsUnseeded"   "dRZ1"            "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaPixelMatchVars"   "dRZ1Info"        "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaPixelMatchVarsUnseeded"   "dRZ1Info"        "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaPixelMatchVars"   "dRZ2"            "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaPixelMatchVarsUnseeded"   "dRZ2"            "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaPixelMatchVars"   "dRZ2Info"        "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaPixelMatchVarsUnseeded"   "dRZ2Info"        "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaPixelMatchVars"   "dRZ3"            "MYHLT"   
